Date,Close_US1M
2024-04-03,5.401
2024-04-02,5.425
2024-04-01,5.381
2024-03-28,5.368
2024-03-27,5.353
2024-03-26,5.364
2024-03-25,5.373
2024-03-22,5.368
2024-03-21,5.365
2024-03-20,5.374
2024-03-19,5.382
2024-03-18,5.386
2024-03-15,5.381
2024-03-14,5.365
2024-03-13,5.366
2024-03-12,5.367
2024-03-11,5.368
2024-03-08,5.373
2024-03-07,5.358
2024-03-06,5.366
2024-03-05,5.362
2024-03-04,5.375
2024-03-01,5.378
2024-02-29,5.398
2024-02-28,5.394
2024-02-27,5.402
2024-02-26,5.4
2024-02-23,5.398
2024-02-22,5.393
2024-02-21,5.396
2024-02-20,5.392
2024-02-19,5.416
2024-02-16,5.39
2024-02-15,5.378
2024-02-14,5.381
2024-02-13,5.382
2024-02-12,5.39
2024-02-09,5.39
2024-02-08,5.378
2024-02-07,5.381
2024-02-06,5.379
2024-02-05,5.39
2024-02-02,5.39
2024-02-01,5.378
2024-01-31,5.378
2024-01-30,5.377
2024-01-29,5.38
2024-01-26,5.382
2024-01-25,5.372
2024-01-24,5.371
2024-01-23,5.384
2024-01-22,5.385
2024-01-19,5.385
2024-01-18,5.367
2024-01-17,5.389
2024-01-16,5.397
2024-01-15,5.408
2024-01-12,5.39
2024-01-11,5.378
2024-01-10,5.378
2024-01-09,5.387
2024-01-08,5.39
2024-01-05,5.388
2024-01-04,5.372
2024-01-03,5.381
2024-01-02,5.394
2024-01-01,5.411
2023-12-29,5.406
2023-12-28,5.388
2023-12-27,5.378
2023-12-26,5.384
2023-12-25,5.405
2023-12-22,5.377
2023-12-21,5.352
2023-12-20,5.345
2023-12-19,5.348
2023-12-18,5.359
2023-12-15,5.382
2023-12-14,5.342
2023-12-13,5.358
2023-12-12,5.369
2023-12-11,5.393
2023-12-08,5.395
2023-12-07,5.372
2023-12-06,5.376
2023-12-05,5.387
2023-12-04,5.395
2023-12-01,5.395
2023-11-30,5.393
2023-11-29,5.391
2023-11-28,5.394
2023-11-27,5.411
2023-11-24,5.408
2023-11-23,5.432
2023-11-22,5.395
2023-11-21,5.392
2023-11-20,5.4
2023-11-17,5.398
2023-11-16,5.388
2023-11-15,5.389
2023-11-14,5.384
2023-11-13,5.4
2023-11-10,5.4
2023-11-09,5.388
2023-11-08,5.389
2023-11-07,5.392
2023-11-06,5.398
2023-11-03,5.4
2023-11-02,5.39
2023-11-01,5.396
2023-10-31,5.394
2023-10-30,5.4
2023-10-27,5.408
2023-10-26,5.395
2023-10-25,5.399
2023-10-24,5.402
2023-10-23,5.416
2023-10-20,5.416
2023-10-19,5.406
2023-10-18,5.404
2023-10-17,5.412
2023-10-16,5.416
2023-10-13,5.436
2023-10-12,5.416
2023-10-11,5.417
2023-10-10,5.428
2023-10-09,5.449
2023-10-06,5.431
2023-10-05,5.388
2023-10-04,5.391
2023-10-03,5.389
2023-10-02,5.393
2023-09-29,5.395
2023-09-28,5.39
2023-09-27,5.399
2023-09-26,5.4
2023-09-25,5.393
2023-09-22,5.395
2023-09-21,5.385
2023-09-20,5.391
2023-09-19,5.397
2023-09-18,5.4
2023-09-15,5.4
2023-09-14,5.39
2023-09-13,5.383
2023-09-12,5.384
2023-09-11,5.39
2023-09-08,5.39
2023-09-07,5.37
2023-09-06,5.378
2023-09-05,5.382
2023-09-04,5.446
2023-09-01,5.385
2023-08-31,5.393
2023-08-30,5.386
2023-08-29,5.382
2023-08-28,5.4
2023-08-25,5.398
2023-08-24,5.385
2023-08-23,5.376
2023-08-22,5.384
2023-08-21,5.385
2023-08-18,5.385
2023-08-17,5.367
2023-08-16,5.365
2023-08-15,5.382
2023-08-14,5.39
2023-08-11,5.385
2023-08-10,5.365
2023-08-09,5.358
2023-08-08,5.369
2023-08-07,5.385
2023-08-04,5.382
2023-08-03,5.37
2023-08-02,5.378
2023-08-01,5.379
2023-07-31,5.37
2023-07-28,5.372
2023-07-27,5.36
2023-07-26,5.363
2023-07-25,5.384
2023-07-24,5.372
2023-07-21,5.365
2023-07-20,5.296
2023-07-19,5.281
2023-07-18,5.289
2023-07-17,5.3
2023-07-14,5.311
2023-07-13,5.257
2023-07-12,5.261
2023-07-11,5.264
2023-07-10,5.262
2023-07-07,5.262
2023-07-06,5.196
2023-07-05,5.196
2023-07-04,5.215
2023-07-03,5.197
2023-06-30,5.19
2023-06-29,5.152
2023-06-28,5.109
2023-06-27,5.108
2023-06-26,5.111
2023-06-23,5.111
2023-06-22,5.078
2023-06-21,5.102
2023-06-20,5.11
2023-06-19,5.175
2023-06-16,5.119
2023-06-15,5.086
2023-06-14,5.112
2023-06-13,5.131
2023-06-12,5.185
2023-06-09,5.193
2023-06-08,5.102
2023-06-07,5.028
2023-06-06,5.124
2023-06-05,5.196
2023-06-02,5.24
2023-06-01,5.232
2023-05-31,5.207
2023-05-30,5.266
2023-05-29,5.81
2023-05-26,5.598
2023-05-25,5.669
2023-05-24,5.752
2023-05-23,5.61
2023-05-22,5.616
2023-05-19,5.513
2023-05-18,5.411
2023-05-17,5.494
2023-05-16,5.553
2023-05-15,5.6
2023-05-12,5.68
2023-05-11,5.539
2023-05-10,5.524
2023-05-09,5.535
2023-05-08,5.462
2023-05-05,5.462
2023-05-04,4.554
2023-05-03,4.554
2023-05-02,4.393
2023-05-01,4.368
2023-04-28,4.315
2023-04-27,4.252
2023-04-26,3.767
2023-04-25,4.01
2023-04-24,3.553
2023-04-21,3.348
2023-04-20,3.531
2023-04-19,3.749
2023-04-18,3.798
2023-04-17,4.003
2023-04-14,4.258
2023-04-13,3.863
2023-04-12,4.14
2023-04-11,4.207
2023-04-10,4.478
2023-04-07,4.519
2023-04-06,4.437
2023-04-05,4.546
2023-04-04,4.614
2023-04-03,4.653
2023-03-31,4.704
2023-03-30,4.523
2023-03-29,4.201
