"Date	",Close_US3M
2024-04-03,5.384
2024-04-02,5.395
2024-04-01,5.367
2024-03-28,5.36
2024-03-27,5.363
2024-03-26,5.366
2024-03-25,5.372
2024-03-22,5.368
2024-03-21,5.381
2024-03-20,5.381
2024-03-19,5.387
2024-03-18,5.385
2024-03-15,5.389
2024-03-14,5.396
2024-03-13,5.392
2024-03-12,5.389
2024-03-11,5.393
2024-03-08,5.378
2024-03-07,5.383
2024-03-06,5.379
2024-03-05,5.379
2024-03-04,5.37
2024-03-01,5.365
2024-02-29,5.373
2024-02-28,5.389
2024-02-27,5.395
2024-02-26,5.416
2024-02-23,5.411
2024-02-22,5.406
2024-02-21,5.399
2024-02-20,5.378
2024-02-19,5.424
2024-02-16,5.392
2024-02-15,5.385
2024-02-14,5.386
2024-02-13,5.404
2024-02-12,5.392
2024-02-09,5.388
2024-02-08,5.39
2024-02-07,5.386
2024-02-06,5.386
2024-02-05,5.392
2024-02-02,5.375
2024-02-01,5.372
2024-01-31,5.365
2024-01-30,5.37
2024-01-29,5.366
2024-01-26,5.367
2024-01-25,5.362
2024-01-24,5.373
2024-01-23,5.373
2024-01-22,5.369
2024-01-19,5.367
2024-01-18,5.372
2024-01-17,5.378
2024-01-16,5.371
2024-01-15,5.395
2024-01-12,5.361
2024-01-11,5.382
2024-01-10,5.388
2024-01-09,5.394
2024-01-08,5.387
2024-01-05,5.388
2024-01-04,5.395
2024-01-03,5.399
2024-01-02,5.378
2024-01-01,5.364
2023-12-29,5.351
2023-12-28,5.395
2023-12-27,5.399
2023-12-26,5.373
2023-12-25,5.392
2023-12-22,5.379
2023-12-21,5.38
2023-12-20,5.394
2023-12-19,5.404
2023-12-18,5.395
2023-12-15,5.39
2023-12-14,5.382
2023-12-13,5.391
2023-12-12,5.415
2023-12-11,5.397
2023-12-08,5.398
2023-12-07,5.401
2023-12-06,5.407
2023-12-05,5.407
2023-12-04,5.392
2023-12-01,5.388
2023-11-30,5.403
2023-11-29,5.404
2023-11-28,5.425
2023-11-27,5.424
2023-11-24,5.424
2023-11-23,5.441
2023-11-22,5.429
2023-11-21,5.419
2023-11-20,5.405
2023-11-17,5.401
2023-11-16,5.408
2023-11-15,5.42
2023-11-14,5.417
2023-11-13,5.426
2023-11-10,5.411
2023-11-09,5.429
2023-11-08,5.433
2023-11-07,5.443
2023-11-06,5.426
2023-11-03,5.43
2023-11-02,5.44
2023-11-01,5.467
2023-10-31,5.488
2023-10-30,5.481
2023-10-27,5.477
2023-10-26,5.479
2023-10-25,5.482
2023-10-24,5.48
2023-10-23,5.465
2023-10-20,5.471
2023-10-19,5.487
2023-10-18,5.498
2023-10-17,5.511
2023-10-16,5.497
2023-10-13,5.497
2023-10-12,5.51
2023-10-11,5.503
2023-10-10,5.496
2023-10-09,5.53
2023-10-06,5.517
2023-10-05,5.502
2023-10-04,5.503
2023-10-03,5.509
2023-10-02,5.486
2023-09-29,5.477
2023-09-28,5.479
2023-09-27,5.503
2023-09-26,5.498
2023-09-25,5.481
2023-09-22,5.482
2023-09-21,5.484
2023-09-20,5.482
2023-09-19,5.477
2023-09-18,5.465
2023-09-15,5.466
2023-09-14,5.471
2023-09-13,5.472
2023-09-12,5.477
2023-09-11,5.46
2023-09-08,5.471
2023-09-07,5.458
2023-09-06,5.472
2023-09-05,5.449
2023-09-04,5.492
2023-09-01,5.444
2023-08-31,5.479
2023-08-30,5.482
2023-08-29,5.488
2023-08-28,5.503
2023-08-25,5.485
2023-08-24,5.475
2023-08-23,5.468
2023-08-22,5.462
2023-08-21,5.444
2023-08-18,5.445
2023-08-17,5.448
2023-08-16,5.451
2023-08-15,5.451
2023-08-14,5.442
2023-08-11,5.432
2023-08-10,5.437
2023-08-09,5.446
2023-08-08,5.462
2023-08-07,5.434
2023-08-04,5.43
2023-08-03,5.437
2023-08-02,5.425
2023-08-01,5.43
2023-07-31,5.424
2023-07-28,5.432
2023-07-27,5.437
2023-07-26,5.438
