DATE,CPIAUCSL_PC1,CPILFESL_PC1
2007-03-01,2.79820,2.50514
2007-04-01,2.59292,2.41553
2007-05-01,2.70989,2.26777
2007-06-01,2.69277,2.18164
2007-07-01,2.31789,2.16820
2007-08-01,1.89745,2.08849
2007-09-01,2.83383,2.10135
2007-10-01,3.61070,2.15655
2007-11-01,4.37327,2.33879
2007-12-01,4.10881,2.43537
2008-01-01,4.29470,2.47891
2008-02-01,4.14296,2.29708
2008-03-01,3.97490,2.38852
2008-04-01,3.90376,2.29467
2008-05-01,4.08841,2.32222
2008-06-01,4.93597,2.39173
2008-07-01,5.49751,2.46331
2008-08-01,5.30802,2.49812
2008-09-01,4.95332,2.43862
2008-10-01,3.73106,2.22136
2008-11-01,1.09992,2.01589
2008-12-01,-0.02223,1.76246
2009-01-01,-0.11359,1.67235
2009-02-01,0.00846,1.80098
2009-03-01,-0.44648,1.78761
2009-04-01,-0.57632,1.93233
2009-05-01,-1.01576,1.84613
2009-06-01,-1.22917,1.71197
2009-07-01,-1.95876,1.52710
2009-08-01,-1.48384,1.43397
2009-09-01,-1.37794,1.47984
2009-10-01,-0.22397,1.71273
2009-11-01,1.91459,1.71424
2009-12-01,2.81412,1.82367
2010-01-01,2.62111,1.51234
2010-02-01,2.15134,1.34945
2010-03-01,2.28617,1.15921
2010-04-01,2.20677,0.96751
2010-05-01,2.00355,0.94014
2010-06-01,1.12156,0.95020
2010-07-01,1.34078,0.95775
2010-08-01,1.15018,0.91710
2010-09-01,1.11831,0.81439
2010-10-01,1.16670,0.60272
2010-11-01,1.08454,0.67206
2010-12-01,1.43779,0.66189
2011-01-01,1.70078,0.98353
2011-02-01,2.12490,1.12445
2011-03-01,2.61924,1.20979
2011-04-01,3.07723,1.31554
2011-05-01,3.45897,1.45410
2011-06-01,3.50232,1.58368
2011-07-01,3.57988,1.74148
2011-08-01,3.75500,1.96516
2011-09-01,3.81262,1.98772
2011-10-01,3.52227,2.10792
2011-11-01,3.45143,2.13820
2011-12-01,3.06207,2.27666
2012-01-01,3.00877,2.27735
2012-02-01,2.89818,2.15982
2012-03-01,2.58288,2.24834
2012-04-01,2.27316,2.31443
2012-05-01,1.73794,2.25226
