Date,CPIAUCSL,CSUSHPINSA,CPIAUCSL_PC1,CPILFESL_PC1,GDP,GDPC1
2007-03-01,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-02,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-05,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-06,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-07,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-08,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-09,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-12,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-13,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-14,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-15,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-16,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-19,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-20,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-21,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-22,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-23,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-26,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-27,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-28,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-29,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-03-30,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-02,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-03,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-04,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-05,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-09,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-10,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-11,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-12,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-13,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-16,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-17,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-18,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-19,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-20,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-23,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-24,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-25,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-26,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-27,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-04-30,205.288,182.192,2.7982,2.50514,14215.651,16611.69
2007-05-01,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-02,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-03,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-04,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-07,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-08,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-09,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-10,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-11,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-14,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-15,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-16,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-17,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-18,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-21,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-22,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-23,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-24,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-25,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-29,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-30,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-05-31,206.755,181.884,2.70989,2.26777,14215.651,16611.69
2007-06-01,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-04,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-05,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-06,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-07,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-08,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-11,207.234,181.539,2.69277,2.18164,14215.651,16611.69
2007-06-12,207.234,181.539,2.69277,2.18164,14215.651,16611.69
