Ex-Dividend Date,Cash Amount,Declaration Date,Record Date,Payment Date
03/15/2024,1.59,01/05/2024,03/18/2024,04/30/2024
12/15/2023,1.91,01/19/2023,12/18/2023,01/31/2024
06/16/2023,1.64,01/19/2023,06/20/2023,07/31/2023
03/17/2023,1.51,01/19/2023,03/20/2023,04/28/2023
12/16/2022,1.78,01/24/2022,12/19/2022,01/31/2023
09/16/2022,1.6,01/24/2022,09/19/2022,10/31/2022
06/17/2022,1.58,01/24/2022,06/21/2022,07/29/2022
03/18/2022,1.37,01/24/2022,03/21/2022,04/29/2022
12/17/2021,1.64,01/22/2021,12/20/2021,01/31/2022
09/17/2021,1.43,09/16/2021,09/20/2021,10/29/2021
06/18/2021,1.38,01/22/2021,06/21/2021,07/30/2021
03/19/2021,1.28,01/22/2021,03/22/2021,04/30/2021
12/18/2020,1.58,01/16/2020,12/21/2020,01/29/2021
09/18/2020,1.34,01/16/2020,09/21/2020,10/30/2020
06/19/2020,1.37,01/16/2020,06/22/2020,07/31/2020
03/20/2020,1.41,01/16/2020,03/23/2020,04/30/2020
