Ex-Dividend Date,Cash Amount,Record Date,Pay Date
2024/3/22,$0.73,2024/3/25,2024/3/27
2023/12/21,$1.07,2023/12/22,2023/12/27
2023/9/28,$0.73,2023/9/29,2023/10/3
2023/6/29,$0.93,2023/6/30,2023/7/5
2023/3/24,$0.77,2023/3/27,2023/3/29
2022/12/22,$1.16,2022/12/23,2022/12/28
2022/9/23,$0.92,2022/9/26,2022/9/28
2022/6/23,$0.57,2022/6/24,2022/6/28
2022/3/23,$0.58,2022/3/24,2022/3/28
2021/12/27,$1.05,2021/12/28,2021/12/30
2021/9/24,$0.66,2021/9/27,2021/9/29
2021/6/24,$0.73,2021/6/25,2021/6/29
2021/3/25,$0.53,2021/3/26,2021/3/30
2020/12/24,$1.34,2020/12/28,2020/12/30
2020/9/25,$0.59,2020/9/28,2020/9/30
2020/6/25,$0.76,2020/6/26,2020/6/30
2020/3/10,$0.65,2020/3/11,2020/3/13
2019/12/18,$0.96,2019/12/19,2019/12/23
