,tic,total_diviends,record_date,Date,Dividends
110,SPY,433.77291170257155,2020-06-22,2020-06-19 00:00:00,1.366
111,SPY,408.7937946478206,2020-09-21,2020-09-18 00:00:00,1.339
112,SPY,480.3174329116608,2020-12-21,2020-12-18 00:00:00,1.58
113,SPY,384.55996966329394,2021-03-22,2021-03-19 00:00:00,1.278
114,SPY,404.906038194852,2021-06-21,2021-06-18 00:00:00,1.376
115,SPY,411.70383269077314,2021-09-20,2021-09-17 00:00:00,1.428
116,SPY,450.0946261927297,2021-12-20,2021-12-17 00:00:00,1.633
117,SPY,374.777932981034,2022-03-21,2022-03-18 00:00:00,1.366
118,SPY,437.9387805250999,2022-06-21,2022-06-17 00:00:00,1.577
119,SPY,443.1399984107663,2022-09-19,2022-09-16 00:00:00,1.596
120,SPY,486.48771659283943,2022-12-19,2022-12-16 00:00:00,1.781
121,SPY,403.9947778423118,2023-03-20,2023-03-17 00:00:00,1.506
122,SPY,413.4736522707963,2023-06-20,2023-06-16 00:00:00,1.638
124,SPY,466.9811384720054,2023-12-18,2023-12-15 00:00:00,1.906
197,AGG,310.0446921522629,2020-04-02,2020-04-01 00:00:00,0.249
198,AGG,510.9949842298834,2020-05-04,2020-05-01 00:00:00,0.236
199,AGG,476.4310665548135,2020-06-02,2020-06-01 00:00:00,0.214
200,AGG,491.9821176159809,2020-07-02,2020-07-01 00:00:00,0.223
201,AGG,479.02091598286165,2020-08-04,2020-08-03 00:00:00,0.207
202,AGG,467.554185556189,2020-09-02,2020-09-01 00:00:00,0.195
203,AGG,471.45376603419436,2020-10-02,2020-10-01 00:00:00,0.202
204,AGG,460.6654201381725,2020-11-03,2020-11-02 00:00:00,0.192
205,AGG,524.5115184133192,2020-12-02,2020-12-01 00:00:00,0.206
206,AGG,324.09222881876264,2020-12-18,2020-12-17 00:00:00,0.125
207,AGG,513.1494309606626,2021-02-02,2021-02-01 00:00:00,0.192
208,AGG,522.3592556600589,2021-03-02,2021-03-01 00:00:00,0.19
209,AGG,482.5630831949529,2021-04-05,2021-04-01 00:00:00,0.172
210,AGG,502.1457919653842,2021-05-04,2021-05-03 00:00:00,0.173
211,AGG,483.73308664157565,2021-06-02,2021-06-01 00:00:00,0.167
212,AGG,460.6465631307954,2021-07-02,2021-07-01 00:00:00,0.156
213,AGG,491.8930662539351,2021-08-03,2021-08-02 00:00:00,0.167
214,AGG,499.4416294315311,2021-09-02,2021-09-01 00:00:00,0.167
215,AGG,527.3600520992534,2021-10-04,2021-10-01 00:00:00,0.18
216,AGG,553.8316313445852,2021-11-02,2021-11-01 00:00:00,0.18
217,AGG,486.99460721685716,2021-12-02,2021-12-01 00:00:00,0.162
218,AGG,355.01977404897366,2021-12-17,2021-12-16 00:00:00,0.117
219,AGG,465.4284205950607,2022-02-02,2022-02-01 00:00:00,0.161
220,AGG,482.14382726885657,2022-03-02,2022-03-01 00:00:00,0.161
221,AGG,501.2346000234829,2022-04-04,2022-04-01 00:00:00,0.16
222,AGG,548.2006176046607,2022-05-03,2022-05-02 00:00:00,0.181
223,AGG,552.881862454557,2022-06-02,2022-06-01 00:00:00,0.186
224,AGG,531.6564856861868,2022-07-05,2022-07-01 00:00:00,0.186
225,AGG,592.2035724059872,2022-08-02,2022-08-01 00:00:00,0.2
226,AGG,605.5248241189234,2022-09-02,2022-09-01 00:00:00,0.204
227,AGG,593.367319650171,2022-10-04,2022-10-03 00:00:00,0.211
228,AGG,644.735794827562,2022-11-02,2022-11-01 00:00:00,0.216
229,AGG,666.9931672354076,2022-12-02,2022-12-01 00:00:00,0.226
230,AGG,666.3479573977424,2022-12-16,2022-12-15 00:00:00,0.226
231,AGG,749.7150516056905,2023-02-02,2023-02-01 00:00:00,0.245
232,AGG,701.8551861237737,2023-03-02,2023-03-01 00:00:00,0.234
233,AGG,739.4539103933868,2023-04-04,2023-04-03 00:00:00,0.252
234,AGG,734.6940987403322,2023-05-02,2023-05-01 00:00:00,0.249
235,AGG,762.0128253418089,2023-06-02,2023-06-01 00:00:00,0.258
236,AGG,774.7712795195747,2023-07-05,2023-07-03 00:00:00,0.255
237,AGG,832.0723676107572,2023-08-02,2023-08-01 00:00:00,0.265
238,AGG,807.38465652877,2023-09-05,2023-09-01 00:00:00,0.26
239,AGG,777.2828682240036,2023-10-03,2023-10-02 00:00:00,0.257
240,AGG,812.3696107428264,2023-11-02,2023-11-01 00:00:00,0.277
241,AGG,859.9210623151841,2023-12-04,2023-12-01 00:00:00,0.274
242,AGG,884.5233365049576,2023-12-15,2023-12-14 00:00:00,0.282
