Date,Close
2007/1/3,53.96
2007/1/4,54.01
2007/1/5,53.62
2007/1/8,53.78
2007/1/9,53.86
2007/1/10,53.92
2007/1/11,54.33
2007/1/12,54.43
2007/1/16,54.52
2007/1/17,54.6
2007/1/18,54.58
2007/1/19,54.6
2007/1/22,54.31
2007/1/23,54.43
2007/1/24,54.71
2007/1/25,54.21
2007/1/26,54.07
2007/1/29,54.11
2007/1/30,54.28
2007/1/31,54.64
2007/2/1,55.02
2007/2/2,55.12
2007/2/5,54.99
2007/2/6,55.06
2007/2/7,55.1
2007/2/8,55.02
2007/2/9,54.74
2007/2/12,54.63
2007/2/13,54.99
2007/2/14,55.3
2007/2/15,55.42
2007/2/16,55.36
2007/2/20,55.59
2007/2/21,55.42
2007/2/22,55.36
2007/2/23,55.24
2007/2/26,55.37
2007/2/27,53.59
2007/2/28,53.69
2007/3/1,53.38
2007/3/2,53
2007/3/5,52.74
2007/3/6,53.27
2007/3/7,53.17
2007/3/8,53.45
2007/3/9,53.54
2007/3/12,53.58
2007/3/13,52.59
2007/3/14,52.72
2007/3/15,52.93
2007/3/16,52.68
2007/3/19,53.18
2007/3/20,53.54
2007/3/21,54.27
2007/3/22,54.29
2007/3/23,54.48
2007/3/26,54.25
2007/3/27,53.89
2007/3/28,53.56
2007/3/29,53.67
2007/3/30,53.66
2007/4/2,53.66
2007/4/3,54.21
2007/4/4,54.25
2007/4/5,54.32
2007/4/9,54.38
2007/4/10,54.44
2007/4/11,54.15
2007/4/12,54.35
2007/4/13,54.49
2007/4/16,55.16
2007/4/17,55.51
2007/4/18,55.51
2007/4/19,55.36
2007/4/20,56.05
2007/4/23,55.8
2007/4/24,55.77
2007/4/25,56.19
2007/4/26,56.15
2007/4/27,56.21
2007/4/30,56.04
2007/5/1,56.04
2007/5/2,56.35
2007/5/3,56.6
2007/5/4,56.56
2007/5/7,56.73
2007/5/8,56.61
2007/5/9,56.82
2007/5/10,56.24
2007/5/11,56.58
2007/5/14,56.5
2007/5/15,56.39
2007/5/16,56.83
2007/5/17,56.81
2007/5/18,57.03
2007/5/21,57.01
2007/5/22,57.03
2007/5/23,57.06
2007/5/24,56.59
2007/5/25,56.88
2007/5/29,56.88
2007/5/30,57.28
2007/5/31,57.43
2007/6/1,57.63
2007/6/4,57.79
2007/6/5,57.43
2007/6/6,57.03
2007/6/7,56.2
2007/6/8,56.62
2007/6/11,56.77
2007/6/12,56.21
2007/6/13,56.98
2007/6/14,57.2
2007/6/15,57.53
2007/6/18,57.46
2007/6/19,57.54
2007/6/20,57.03
2007/6/21,57.21
2007/6/22,56.67
2007/6/25,56.33
2007/6/26,56.29
2007/6/27,56.5
2007/6/28,56.62
2007/6/29,56.32
2007/7/2,56.8
2007/7/3,57.12
2007/7/5,57.05
2007/7/6,57.28
2007/7/9,57.45
2007/7/10,56.7
2007/7/11,56.96
2007/7/12,58
2007/7/13,58.18
2007/7/16,58.21
2007/7/17,58.1
2007/7/18,58.05
2007/7/19,58.35
2007/7/20,57.53
2007/7/23,57.92
2007/7/24,57.06
2007/7/25,57.33
2007/7/26,56.06
2007/7/27,55
2007/7/30,55.68
2007/7/31,54.9
2007/8/1,55.47
2007/8/2,55.71
2007/8/3,54.4
2007/8/6,55.75
2007/8/7,56.47
2007/8/8,57.09
2007/8/9,55.75
2007/8/10,55.74
2007/8/13,55.42
2007/8/14,54.46
2007/8/15,53.74
2007/8/16,54.12
2007/8/17,55.28
2007/8/20,55.3
2007/8/21,55.19
2007/8/22,55.89
2007/8/23,55.69
2007/8/24,56.32
2007/8/27,55.92
2007/8/28,54.88
2007/8/29,55.67
2007/8/30,55.64
2007/8/31,56.16
2007/9/4,56.44
2007/9/5,55.87
2007/9/6,56.07
2007/9/7,55.31
2007/9/11,55.93
2007/9/12,56.1
2007/9/13,56.42
2007/9/14,56.58
2007/9/17,56.3
2007/9/18,57.83
2007/9/19,58.26
2007/9/20,57.92
2007/9/21,58.04
2007/9/24,57.49
2007/9/25,57.29
2007/9/26,57.72
2007/9/27,57.98
2007/9/28,57.87
2007/10/1,58.53
2007/10/2,58.38
2007/10/3,58.13
2007/10/4,58.19
2007/10/5,58.71
2007/10/8,58.6
2007/10/9,58.98
2007/10/10,58.81
2007/10/11,58.57
2007/10/12,58.63
2007/10/15,58.07
2007/10/16,57.91
2007/10/17,57.74
2007/10/18,57.64
2007/10/19,56.32
2007/10/22,56.56
2007/10/23,56.82
2007/10/24,56.82
2007/10/25,56.97
2007/10/26,57.32
2007/10/29,57.56
2007/10/30,57.25
2007/10/31,57.68
2007/11/1,56.2
2007/11/2,56.15
2007/11/5,56.05
2007/11/6,56.72
2007/11/7,55.3
2007/11/8,55.57
2007/11/9,54.9
2007/11/12,54.84
2007/11/13,56.18
2007/11/14,55.92
2007/11/15,55.48
2007/11/16,55.62
2007/11/19,54.73
2007/11/20,55.17
2007/11/21,54.33
2007/11/23,54.95
2007/11/26,54.05
2007/11/27,54.72
2007/11/28,56.26
2007/11/29,56.25
2007/11/30,56.51
2007/12/3,56.24
2007/12/4,56.02
2007/12/5,56.65
2007/12/6,57.57
2007/12/7,57.37
2007/12/10,57.84
2007/12/11,56.4
2007/12/12,56.81
2007/12/13,56.85
2007/12/14,56.2
2007/12/17,55.45
2007/12/19,55.93
2007/12/20,55.7
2007/12/21,56.47
2007/12/26,56.88
2007/12/27,56.21
2007/12/28,56.3
